volume	page	line	token_index	tibetan_syllable	old_token	current_token	migration_class	context_excerpt
wts_1_34	365	128	1	པི	Sinnest	Sinnestäuschung	unicode_latin_token_extent_repaired	པི Sinnestäuschung.
wts_1_34	368	145	1	པཿ	gewi	gewiß	unicode_latin_token_extent_repaired	པཿ gewiß so sein.
wts_1_34	381	170	0	རབ	hre		former_fragment_or_gloss_alignment_removed	གྲ་ཡི་རབ་ gru ༡// 745 Fähre, Boot.
wts_1_34	381	170	3	ཡི	F	Fähre	unicode_latin_token_extent_repaired	གྲ་ཡི་རབ་ gru ༡// 745 Fähre, Boot.
wts_1_34	381	170	4	རབ		Boot	new_alignment_requires_review	གྲ་ཡི་རབ་ gru ༡// 745 Fähre, Boot.
wts_1_34	384	3	3	པ	zuverl	zuverlässig	unicode_latin_token_extent_repaired	གྲལ་བྲབ་པ་ grulthub pa zuverlässig.
wts_1_34	387	88	6	བོ	F	Fürst	unicode_latin_token_extent_repaired	གློང་ཀྱེར་རྗེ་བོ་ 97-0/77 khyer rje bo Fürst, Landes-
wts_1_34	395	141	1	ལ	k	kämpfen	unicode_latin_token_extent_repaired	ལ kämpfen.
wts_1_34	395	183	3	གླས	kn	knüpfen	unicode_latin_token_extent_repaired	གླས་ 22/%; [166117613, knüpfen.
wts_1_34	396	168	2	བཞི	b	bäi	unicode_latin_token_extent_repaired	གླིང་བཞི་ elin bäi.
wts_1_34	398	118	2	གཞི	g	gäi	unicode_latin_token_extent_repaired	གླེང་གཞི་ glen gäi.
wts_1_34	399	136	0	ལྡེག	in		former_fragment_or_gloss_alignment_removed	གློ་སྙིང་ལྡེག་ glo säin ldeg Herzklopfen.
wts_1_34	399	136	2	སྙིང	s	säin	unicode_latin_token_extent_repaired	གློ་སྙིང་ལྡེག་ glo säin ldeg Herzklopfen.
wts_1_34	399	136	3	ལྡེག		ldeg	new_alignment_requires_review	གློ་སྙིང་ལྡེག་ glo säin ldeg Herzklopfen.
wts_1_34	401	43	2	བརྙན	br	brüan	unicode_latin_token_extent_repaired	གློག་བརྙན་ glog brüan Film.
wts_1_34	405	99	3	ངུ	K	Kämadeva	unicode_latin_token_extent_repaired	པ་ དཱ ངུ me des Kämadeva bzw.
wts_1_34	407	144	2	སྙིང	sh	shäin	unicode_latin_token_extent_repaired	དགང་སྙིང་ dgun shäin Bez. der chin. Tierkreis-
wts_1_34	412	101	0	པོ	ih		former_fragment_or_gloss_alignment_removed	དགེ་བའི་སྙིང་པོ་ dge ba’i säih po ein myth.
wts_1_34	412	101	3	སྙིང	s	säih	unicode_latin_token_extent_repaired	དགེ་བའི་སྙིང་པོ་ dge ba’i säih po ein myth.
wts_1_34	412	101	4	པོ		po	new_alignment_requires_review	དགེ་བའི་སྙིང་པོ་ dge ba’i säih po ein myth.
wts_1_34	424	173	2	གཞི	g	gäi	unicode_latin_token_extent_repaired	བགྲང་གཞི་ beran gäi.
wts_1_34	426	79	5	རྡོ	Ambo	Amboß	unicode_latin_token_extent_repaired	མགར་བའི་མེ་རྡོ་ mgar ba’i me ༡:70 Amboß.
wts_1_34	426	86	4	རྔོ	Ambo	Amboß	unicode_latin_token_extent_repaired	མགར་བའི་འོག་རྔོ་ mgar ba’i ’ogrdo Amboß.
wts_1_34	429	86	2	བརྙན	br	brüan	unicode_latin_token_extent_repaired	མགོ་བརྙན་ mgo brüan Büste, Maske.
wts_1_34	433	78	0	རབ	enh		former_fragment_or_gloss_alignment_removed	འགག་སྡེད་ཏྱ་མཾ རབ sdod khyi mo Straßenhün-
wts_1_34	433	78	1	འགག	sdod		former_alignment_requires_review	འགག་སྡེད་ཏྱ་མཾ རབ sdod khyi mo Straßenhün-
wts_1_34	433	78	2	སྡེད	khyi		former_alignment_requires_review	འགག་སྡེད་ཏྱ་མཾ རབ sdod khyi mo Straßenhün-
wts_1_34	433	78	3	ཏྱ	mo		former_alignment_requires_review	འགག་སྡེད་ཏྱ་མཾ རབ sdod khyi mo Straßenhün-
wts_1_34	433	78	4	མཾ	Stra		former_alignment_requires_review	འགག་སྡེད་ཏྱ་མཾ རབ sdod khyi mo Straßenhün-
wts_1_34	433	146	3	གཙང	sorgf	sorgfältig	unicode_latin_token_extent_repaired	འགད་གཙང་ 977 gtsaṅ sorgfältig.
wts_1_34	438	38	3	ཁྲིད	F	Führer	unicode_latin_token_extent_repaired	འགོ་ཁྲིད་ 20 khrid Führer, Anführer, Leiter.
wts_1_34	438	122	0	བང	tte		former_fragment_or_gloss_alignment_removed	འགོ་བང་ @ Hütte.
wts_1_34	438	122	1	འགོ	H		former_alignment_requires_review	འགོ་བང་ @ Hütte.
